id,state,district,city,service,department,contact_number,alternate_number,email,address,available_24x7
33,Gujarat,Ahmedabad,Ahmedabad City,Ambulance,Ambulance Department,108,112,ambulance@example.gov.in,"Ahmedabad City, Ahmedabad, Gujarat",Yes
34,Gujarat,Ahmedabad,Ahmedabad City,Disaster Control Room,Disaster Control Room Department,1077,112,disastercontrolroom@example.gov.in,"Ahmedabad City, Ahmedabad, Gujarat",Yes
35,Gujarat,Ahmedabad,Ahmedabad City,Women Helpline,Women Helpline Department,1091,112,womenhelpline@example.gov.in,"Ahmedabad City, Ahmedabad, Gujarat",Yes
36,Gujarat,Ahmedabad,Ahmedabad City,Child Helpline,Child Helpline Department,1098,112,childhelpline@example.gov.in,"Ahmedabad City, Ahmedabad, Gujarat",Yes
37,Tamil Nadu,Chennai,Chennai,Police,Police Department,100,112,police@example.gov.in,"Chennai, Chennai, Tamil Nadu",Yes
38,Tamil Nadu,Chennai,Chennai,Fire,Fire Department,101,112,fire@example.gov.in,"Chennai, Chennai, Tamil Nadu",Yes
39,Tamil Nadu,Chennai,Chennai,Ambulance,Ambulance Department,108,112,ambulance@example.gov.in,"Chennai, Chennai, Tamil Nadu",Yes
40,Tamil Nadu,Chennai,Chennai,Disaster Control Room,Disaster Control Room Department,1077,112,disastercontrolroom@example.gov.in,"Chennai, Chennai, Tamil Nadu",Yes
41,Tamil Nadu,Chennai,Chennai,Women Helpline,Women Helpline Department,1091,112,womenhelpline@example.gov.in,"Chennai, Chennai, Tamil Nadu",Yes
42,Tamil Nadu,Chennai,Chennai,Child Helpline,Child Helpline Department,1098,112,childhelpline@example.gov.in,"Chennai, Chennai, Tamil Nadu",Yes
43,Tamil Nadu,Chennai,Chennai City,Police,Police Department,100,112,police@example.gov.in,"Chennai City, Chennai, Tamil Nadu",Yes
44,Tamil Nadu,Chennai,Chennai City,Fire,Fire Department,101,112,fire@example.gov.in,"Chennai City, Chennai, Tamil Nadu",Yes
45,Tamil Nadu,Chennai,Chennai City,Ambulance,Ambulance Department,108,112,ambulance@example.gov.in,"Chennai City, Chennai, Tamil Nadu",Yes
46,Tamil Nadu,Chennai,Chennai City,Disaster Control Room,Disaster Control Room Department,1077,112,disastercontrolroom@example.gov.in,"Chennai City, Chennai, Tamil Nadu",Yes
47,Tamil Nadu,Chennai,Chennai City,Women Helpline,Women Helpline Department,1091,112,womenhelpline@example.gov.in,"Chennai City, Chennai, Tamil Nadu",Yes
48,Tamil Nadu,Chennai,Chennai City,Child Helpline,Child Helpline Department,1098,112,childhelpline@example.gov.in,"Chennai City, Chennai, Tamil Nadu",Yes
49,Delhi,New Delhi,New,Police,Police Department,100,112,police@example.gov.in,"New, New Delhi, Delhi",Yes
50,Delhi,New Delhi,New,Fire,Fire Department,101,112,fire@example.gov.in,"New, New Delhi, Delhi",Yes
51,Delhi,New Delhi,New,Ambulance,Ambulance Department,108,112,ambulance@example.gov.in,"New, New Delhi, Delhi",Yes
52,Delhi,New Delhi,New,Disaster Control Room,Disaster Control Room Department,1077,112,disastercontrolroom@example.gov.in,"New, New Delhi, Delhi",Yes
53,Delhi,New Delhi,New,Women Helpline,Women Helpline Department,1091,112,womenhelpline@example.gov.in,"New, New Delhi, Delhi",Yes
54,Delhi,New Delhi,New,Child Helpline,Child Helpline Department,1098,112,childhelpline@example.gov.in,"New, New Delhi, Delhi",Yes
55,Delhi,New Delhi,New City,Police,Police Department,100,112,police@example.gov.in,"New City, New Delhi, Delhi",Yes
56,Delhi,New Delhi,New City,Fire,Fire Department,101,112,fire@example.gov.in,"New City, New Delhi, Delhi",Yes
57,Delhi,New Delhi,New City,Ambulance,Ambulance Department,108,112,ambulance@example.gov.in,"New City, New Delhi, Delhi",Yes
58,Delhi,New Delhi,New City,Disaster Control Room,Disaster Control Room Department,1077,112,disastercontrolroom@example.gov.in,"New City, New Delhi, Delhi",Yes
59,Delhi,New Delhi,New City,Women Helpline,Women Helpline Department,1091,112,womenhelpline@example.gov.in,"New City, New Delhi, Delhi",Yes
60,Delhi,New Delhi,New City,Child Helpline,Child Helpline Department,1098,112,childhelpline@example.gov.in,"New City, New Delhi, Delhi",Yes
